sample	group
HG00403	1KGp
HG00404	1KGp
HG00406	1KGp
HG00407	1KGp
HG00409	1KGp
HG00410	1KGp
HG00419	1KGp
HG00421	1KGp
HG00422	1KGp
HG00428	1KGp
HG00436	1KGp
HG00437	1KGp
HG00442	1KGp
HG00443	1KGp
HG00445	1KGp
HG00446	1KGp
HG00448	1KGp
HG00449	1KGp
HG00451	1KGp
HG00452	1KGp
HG00457	1KGp
HG00458	1KGp
HG00463	1KGp
HG00464	1KGp
HG00472	1KGp
HG00473	1KGp
HG00475	1KGp
HG00476	1KGp
HG00478	1KGp
HG00479	1KGp
HG00500	1KGp
HG00513	1KGp
HG00524	1KGp
HG00525	1KGp
HG00530	1KGp
HG00531	1KGp
HG00533	1KGp
HG00534	1KGp
HG00536	1KGp
HG00537	1KGp
HG00542	1KGp
HG00543	1KGp
HG00556	1KGp
HG00557	1KGp
HG00559	1KGp
HG00560	1KGp
HG00565	1KGp
HG00566	1KGp
HG00580	1KGp
HG00581	1KGp
HG00583	1KGp
HG00584	1KGp
HG00589	1KGp
HG00590	1KGp
HG00592	1KGp
HG00593	1KGp
HG00595	1KGp
HG00596	1KGp
HG00598	1KGp
HG00599	1KGp
HG00607	1KGp
HG00608	1KGp
HG00610	1KGp
HG00611	1KGp
HG00613	1KGp
HG00614	1KGp
HG00619	1KGp
HG00620	1KGp
HG00622	1KGp
HG00623	1KGp
HG00625	1KGp
HG00626	1KGp
HG00628	1KGp
HG00629	1KGp
HG00631	1KGp
HG00632	1KGp
HG00634	1KGp
HG00650	1KGp
HG00651	1KGp
HG00653	1KGp
HG00654	1KGp
HG00656	1KGp
HG00657	1KGp
HG00662	1KGp
HG00663	1KGp
HG00671	1KGp
HG00672	1KGp
HG00674	1KGp
HG00675	1KGp
HG00683	1KGp
HG00684	1KGp
HG00689	1KGp
HG00690	1KGp
HG00692	1KGp
HG00693	1KGp
HG00698	1KGp
HG00699	1KGp
HG00701	1KGp
HG00704	1KGp
HG00705	1KGp
HG00707	1KGp
HG00708	1KGp
HG00717	1KGp
HG00728	1KGp
HG00729	1KGp
HG00759	1KGp
HG00766	1KGp
HG00844	1KGp
HG00851	1KGp
HG00864	1KGp
HG00867	1KGp
HG00879	1KGp
HG00881	1KGp
HG00956	1KGp
HG00978	1KGp
HG00982	1KGp
HG01028	1KGp
HG01029	1KGp
HG01031	1KGp
HG01046	1KGp
HG01794	1KGp
HG01795	1KGp
HG01796	1KGp
HG01797	1KGp
HG01798	1KGp
HG01799	1KGp
